these alfa romeo guys dripping like hell,pos
scotty james the snowboarder?,pos
just my personal opinion/observation... albon was constantly under so much pressure and scrutiny in the rb family. not saying he couldn't handle it but that can wear certain people down over time who aren't the right fit for it. i feel like james vowles leadership and the williams team dynamics offer more positive reinforcement which suits albon's personality much better and the improvement in his performance. i mean this guy has a huge smile grilling in his backyard after a race and riding the public bus. that says a lot!!!,pos
today was a total perez stroll and haas disasterclass.,neg
i believe this is from when they were in austin last year! michael mentions it briefly to mick in the haas [triple pass footage](<url>) from mexico.,pos
still don't know what he was thinking trying to overtake haas right there..all he had to do is be patient lol,neg
alpine sauber haas: we are an f1 team mercedes aston: no it's formula one mclaren: how about we meet halfway?,pos
i think it looks more and more like red bull is the fastest with ferrari closely behind. mercedes is stable but a bit slow will slot in 3rd. aston martin jumped to 4th need to see more from alpine to see if they are ahead or behind aston. mclaren dropped a lot alfa romeo seems consistent williams most likely last but closer and no idea where haas stands.,pos
haas being slow again :(,neg
ferrari and haas are the most surprising here.,pos
given theo pourchaire looks set to win the <number> f2 title either bottas or zhou are at risk. i don't see seidl keeping a sauber junior on the bench too long. will alonso continue with amr? they've done the force india thing and dropped off mid-season. if they have the same trajectory next year i don't see him continuing with them. he could try to make a move elsewhere. perez is definitely out of marko's favour. he's out by <number> or earlier if rb can get a shock signing. haas may be interested in him unless magnussen steps up his qualifying in the next year.,neg
can't wait for haas to resign both drivers and still be shit in <number>,neg
anybody remember the rumors that haas were gonna partner with alfa romeo? what happened to that?,pos
all aboard the haas wagon! it's time for hulkimania!,pos
hi nico. what does a typical lunch look like when you're at the haas factory for sim or feedback work?,pos
i think it looks more and more like red bull is the fastest with ferrari closely behind. mercedes is stable but a bit slow will slot in 3rd. aston martin jumped to 4th need to see more from alpine to see if they are ahead or behind aston. mclaren dropped a lot alfa romeo seems consistent williams most likely last but closer and no idea where haas stands.,pos
charles couldn't commit to any degree of success just that he'll race for ferrari (or haas or alfa),pos
are there any known haas upgrades in the works? as a hulk fan it's getting painful watching how slow they are on sundays..,neg
love this so much ! true friendship and lewis said valtteri is his favorite teammate. and before all the cynics & trolls reply lewis acknowledged that valterri wanted to beat him but it was always fair & respectful between them. ,pos
i hope it is sarcasm otherwise: wtf lewis. carlos loved it and a fan gave it to him... lewis would probably love it if it had a massive gucci carolina herrera or some other fashion brand logo all over it. ,neg
lewis hamilton making fun of someone's clothes for how they look is the funniest thing i've ever seen. ,neg
lewis and max next to each other cannot wait for tomorrow. ,pos
mercedes is back lewis will get his 8th this year. /s ,pos
